,PermitNum,PermitClass,PermitClassMapped,PermitTypeMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,RelatedMup,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1,TotalDaysPlanReview,DaysInitialPlanReview,DaysPlanReviewCity,DaysOutCorrections,NumberReviewCycles,InitialReviewCompleteDate,PlanReviewCompleteDate,DaysIssuePermitCity,ReadyToIssueDate,Zoning,DwellingUnitType,StandardPlan,DependentBuilding,ParentPermitNum,HousingCategory,AppliedYear,IssuedYear,CompletedYear
660,6062967-PH,Multifamily,Residential,Building,New,Phased project:  Construction of a residential building with below grade parking and occupy  per plan,14,0.0,14.0,"3,203,426",2014-08-15,2021-12-13,2023-06-13,,Expired,3005600-LU,416 E HARRISON ST,SEATTLE,WA,98102.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6062967-PH,47.62218901,-122.32586296,"(47.62218901, -122.32586296)",,,,142,4.0,,,,,,,,0,,,2014,2021,
3149,6073452-CN,Multifamily,Residential,Building,New,Construct Duplex Dwelling with Attached garages per plan,2,0.0,2.0,"400,000",2014-06-17,2014-10-23,2016-04-23,2016-04-21,Completed,3004097-LU,301 26TH AVE E,SEATTLE,WA,98112.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6073452-CN,47.62206462,-122.29870965,"(47.62206462, -122.29870965)",,,,0,0.0,,,,,LR2,Rowhouse,0.0,0,,Middle Housing,2014,2014,2016
18857,6146807-CN,Multifamily,Residential,Building,New,"Construct 3 unit townhouse - building ""A"" this permit. (Establish use as and construct (8) 3 unit townhouses and (1) 2 unit townhouse  all w/ attached garages  per plans. Review and processing for 9 A/P's under 6146807)",3,0.0,3.0,"521,270",2014-07-03,2015-03-10,2019-09-10,2019-12-27,Completed,3007798-LU,4922 S WILLOW ST,SEATTLE,WA,98118.0,DOUG BUCY,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6146807-CN,47.5409447,-122.27065133,"(47.5409447, -122.27065133)",,,,0,0.0,,,,,LR3,Townhouse,0.0,0,,Middle Housing,2014,2015,2019
40002,6249257-CN,Multifamily,Residential,Building,Addition/Alteration,legalize existing basement unit with minor alterations to add a 6th unit to an existing apartment building and occupy  per plan,1,0.0,1.0,"1,000",2013-10-17,2013-11-05,2015-05-05,2015-05-19,Completed,,4700 SW OTHELLO ST,SEATTLE,WA,98136.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6249257-CN,47.53817184,-122.39325501,"(47.53817184, -122.39325501)",,,,0,0.0,,,,,L-1,Apartment,0.0,0,,Middle Housing,2013,2013,2015
42213,6309478-CN,Multifamily,Residential,Building,New,Land Use Application to allow 1 illuminated wall sign and 3 banner signs on a multifamily structure.,107,0.0,107.0,"15,000,000",2016-09-06,2017-12-22,2020-06-22,2020-03-13,Completed,3012217-LU,2615 25TH AVE S,SEATTLE,WA,98144.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6309478-CN,47.57954054,-122.30064319,"(47.57954054, -122.30064319)",,,,0,0.0,,,,,SM,Apartment,0.0,0,,,2016,2017,2020
42540,6300093-CN,Multifamily,Residential,Building,New,Establish use as and construct a multifamily residence with under ground parking  occupy per plan.,60,0.0,60.0,"2,451,110",2013-01-15,2013-07-02,2016-07-02,2015-01-20,Completed,3012892-LU,4055 8TH AVE NE,SEATTLE,WA,98105.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6300093-CN,47.65725553,-122.32008031,"(47.65725553, -122.32008031)",,,,0,0.0,,,,,LR3,Apartment,0.0,0,,,2013,2013,2015
43015,6269433-CN,Multifamily,Residential,Building,New,Establish use as and construct a single family floating home and occupy  per plan.,1,0.0,1.0,"247,522",2013-11-22,2014-02-04,2017-02-04,2016-03-16,Completed,3013007-LU,2017 FAIRVIEW AVE E,SEATTLE,WA,98102.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6269433-CN,47.63727005,-122.33007462,"(47.63727005, -122.33007462)",,,,0,0.0,,,,,SF 5000,Detached Single-Family,0.0,0,,Middle Housing,2013,2014,2016
43787,6316822-CN,Multifamily,Residential,Building,New,Establish use as and construct new apartment building and occupy per plans.,41,0.0,41.0,"1,675,948",2013-06-12,2014-04-15,2015-10-15,,Expired,3024125-LU,1728 SUMMIT AVE,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6316822-CN,47.61732036,-122.3252791,"(47.61732036, -122.3252791)",,,,0,0.0,,,,,,,,0,,,2013,2014,
43806,6306279-CN,Multifamily,Residential,Building,New,Construction of a residential building with below grade parking and occupy  per plan.,282,0.0,282.0,"36,678,888",2013-03-19,2013-12-06,2016-12-06,2016-03-30,Completed,3013013-LU,400 BOREN AVE N,SEATTLE,WA,98109.0,COMPASS GENERAL CONSTR CO,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6306279-CN,47.62221174,-122.33559922,"(47.62221174, -122.33559922)",,,,0,0.0,,,,,IC,Apartment,0.0,0,,,2013,2013,2016
44029,6317945-CN,Multifamily,Residential,Building,New,Est use as and construct 4-unit townhouse w attached garages  per plan (E bldg this permit); (Const (2) three unit townhouses and (1) four unit townhouse w attached garages  per plan (3 app's under 6317945),4,0.0,4.0,"811,769",2013-02-21,2014-03-04,2015-09-04,2015-10-20,Completed,3013417-LU,7528 43RD AVE S,SEATTLE,WA,98118.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6317945-CN,47.53446847,-122.27836102,"(47.53446847, -122.27836102)",,,,0,0.0,,,,,LR2,Townhouse,0.0,0,,Middle Housing,2013,2014,2015
44340,6300081-CN,Multifamily,Residential,Building,New,Establish use as and construct northeast single family residence with attached garage  per plan.,3,0.0,3.0,"471,804",2013-02-13,2014-02-15,2015-08-15,,Completed,,9036 15TH AVE NW,SEATTLE,WA,98117.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6300081-CN,47.69545338,-122.37621095,"(47.69545338, -122.37621095)",,,,0,0.0,,,,,LR2,Detached Single-Family,0.0,0,,Housing - Other,2013,2014,
44499,6309251-CN,Multifamily,Residential,Building,New,Change use to live-work on ground floor and apartments on upper floors. Construct mixed use building and occupy  per plan.,33,0.0,33.0,"2,026,988",2013-08-19,2014-04-04,2017-04-04,2017-01-19,Completed,3013256-LU,2202 E OLIVE ST,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6309251-CN,47.61727963,-122.30347804,"(47.61727963, -122.30347804)",,,,0,0.0,,,,,NC2,Apartment,0.0,0,,,2013,2014,2017
45119,6323430-PH,Multifamily,Residential,Building,New,Phased project: Construction of a mixed-use retail and residential building with covered parking and occupy per plan.,18,0.0,18.0,"2,678,538",2013-06-26,2013-10-22,2015-04-22,2015-12-04,Completed,3013904-LU,1366 31ST AVE S,SEATTLE,WA,98144.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6323430-PH,47.59052366,-122.29209948,"(47.59052366, -122.29209948)",,,,0,0.0,,,,,NC1,Apartment,0.0,0,,,2013,2013,2015
